trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_westbound_Sat_T04,10:15:00,10:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_Sat_T04,10:33:21,10:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_Sat_T04,10:34:11,10:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_Sat_T04,10:34:46,10:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_Sat_T04,10:35:00,10:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_Sat_T04,10:37:26,10:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_Sat_T04,10:45:00,10:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_Sat_T05,11:15:00,11:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_Sat_T05,11:33:21,11:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_Sat_T05,11:34:11,11:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_Sat_T05,11:34:46,11:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_Sat_T05,11:35:00,11:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_Sat_T05,11:37:26,11:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_Sat_T05,11:45:00,11:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_Sat_T06,12:15:00,12:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_Sat_T06,12:33:21,12:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_Sat_T06,12:34:11,12:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_Sat_T06,12:34:46,12:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_Sat_T06,12:35:00,12:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_Sat_T06,12:37:26,12:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_Sat_T06,12:45:00,12:45:00,7970131,7,,,,,,29.758,1
